INCREMENT-CASCADE CERT — coin=TRX early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=2 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  1085     +105  1.27     -60.0 |   909   -395.2 |    624   -374.4 |      +13      +92 |     -276 | fail
30  38   2   0.90 |  1085     +132  1.33     -60.0 |   982   -400.8 |    624   -374.4 |      +23     +109 |     -248 | fail
30  38   4   0.75 |  1148       -4  0.99     -60.0 |   983   -449.5 |    720   -432.0 |      -20      +16 |     -407 | fail
30  38   4   0.90 |  1148      +39  1.08     -60.0 |  1050   -454.3 |    720   -432.0 |      +25      +14 |     -386 | fail
30  38   8   0.75 |  1101     -107  0.75     -60.0 |   966   -424.8 |    675   -405.0 |      -62      -45 |     -426 | fail
30  38   8   0.90 |  1101      -83  0.81     -60.0 |  1031   -429.3 |    675   -405.0 |      -41      -43 |     -411 | fail
30  38   12  0.75 |   995     -104  0.73     -60.0 |   863   -389.5 |    624   -374.4 |      -74      -30 |     -420 | fail
30  38   12  0.90 |   995      -80  0.80     -60.0 |   926   -394.5 |    624   -374.4 |      -44      -37 |     -409 | fail
30  60   2   0.75 |  1062      +37  1.09     -60.0 |   889   -398.3 |    631   -378.6 |      -33      +70 |     -242 | fail
30  60   2   0.90 |  1062      +46  1.11     -60.0 |   966   -404.2 |    631   -378.6 |      -32      +79 |     -225 | fail
30  60   4   0.75 |  1120      -46  0.90     -60.0 |   960   -441.6 |    708   -424.8 |      -55       +9 |     -378 | fail
30  60   4   0.90 |  1120      -17  0.96     -60.0 |  1032   -446.5 |    708   -424.8 |      -27      +10 |     -346 | fail
30  60   8   0.75 |  1070     -115  0.72     -60.0 |   939   -413.1 |    657   -394.2 |      -63      -52 |     -426 | fail
30  60   8   0.90 |  1070      -88  0.79     -60.0 |  1004   -418.2 |    657   -394.2 |      -56      -32 |     -418 | fail
30  60   12  0.75 |   975     -184  0.52     -60.0 |   845   -384.6 |    615   -369.0 |      -71     -113 |     -458 | fail
30  60   12  0.90 |   975     -169  0.56     -60.0 |   910   -389.3 |    615   -369.0 |      -49     -121 |     -457 | fail
30  100  2   0.75 |  1017      +73  1.19     -60.0 |   850   -382.7 |    607   -364.2 |       +2      +70 |     -199 | fail
30  100  2   0.90 |  1017      +95  1.25     -60.0 |   927   -388.5 |    607   -364.2 |      +16      +80 |     -178 | fail
30  100  4   0.75 |  1067      -10  0.98     -60.0 |   898   -409.7 |    655   -393.0 |      -36      +26 |     -346 | fail
30  100  4   0.90 |  1067       +3  1.01     -60.0 |   980   -415.5 |    655   -393.0 |      -17      +20 |     -330 | fail
30  100  8   0.75 |  1025      -88  0.78     -60.0 |   898   -396.1 |    631   -378.6 |      -43      -45 |     -453 | fail
30  100  8   0.90 |  1025      -83  0.79     -60.0 |   959   -400.5 |    631   -378.6 |      -45      -38 |     -455 | fail
30  100  12  0.75 |   933     -169  0.53     -60.0 |   810   -361.2 |    575   -345.0 |      -74      -96 |     -359 | fail
30  100  12  0.90 |   933     -141  0.61     -60.0 |   862   -364.7 |    575   -345.0 |      -43      -98 |     -353 | fail
60  38   2   0.75 |  1085       +5  1.01     -90.0 |   892   -526.6 |    558   -502.2 |      -35      +40 |     -382 | fail
60  38   2   0.90 |  1085      +41  1.08     -90.0 |   972   -533.1 |    558   -502.2 |      -24      +65 |     -354 | fail
60  38   4   0.75 |  1148      -95  0.84     -90.0 |   956   -587.8 |    629   -566.1 |      -84      -11 |     -499 | fail
60  38   4   0.90 |  1148      -43  0.93     -90.0 |  1037   -593.9 |    629   -566.1 |      -29      -13 |     -473 | fail
60  38   8   0.75 |  1101     -164  0.69     -90.0 |   939   -534.4 |    566   -509.4 |     -116      -48 |     -478 | fail
60  38   8   0.90 |  1101     -136  0.75     -90.0 |  1013   -539.7 |    566   -509.4 |      -95      -41 |     -463 | fail
60  38   12  0.75 |   995     -176  0.64     -90.0 |   841   -489.4 |    521   -468.9 |     -115      -62 |     -478 | fail
60  38   12  0.90 |   995     -156  0.68     -90.0 |   915   -495.3 |    521   -468.9 |      -86      -71 |     -469 | fail
60  60   2   0.75 |  1062      -74  0.86     -90.0 |   876   -530.6 |    564   -507.6 |      -92      +17 |     -352 | fail
60  60   2   0.90 |  1062      -66  0.88     -90.0 |   960   -537.3 |    564   -507.6 |      -91      +25 |     -336 | fail
60  60   4   0.75 |  1120     -132  0.77     -90.0 |   935   -569.8 |    609   -548.1 |     -123      -10 |     -466 | fail
60  60   4   0.90 |  1120     -103  0.82     -90.0 |  1021   -575.8 |    609   -548.1 |      -93      -10 |     -431 | fail
60  60   8   0.75 |  1070     -173  0.67     -90.0 |   915   -517.7 |    548   -493.2 |     -111      -62 |     -481 | fail
60  60   8   0.90 |  1070     -142  0.73     -90.0 |   989   -523.4 |    548   -493.2 |     -104      -38 |     -474 | fail
60  60   12  0.75 |   975     -213  0.55     -90.0 |   818   -478.1 |    508   -457.2 |      -79     -134 |     -499 | fail
60  60   12  0.90 |   975     -189  0.61     -90.0 |   895   -483.9 |    508   -457.2 |      -57     -132 |     -497 | fail
60  100  2   0.75 |  1017      -35  0.93     -90.0 |   831   -510.8 |    544   -489.6 |      -60      +24 |     -293 | fail
60  100  2   0.90 |  1017      -13  0.98     -90.0 |   916   -517.4 |    544   -489.6 |      -47      +35 |     -271 | fail
60  100  4   0.75 |  1067      -91  0.83     -90.0 |   876   -527.8 |    563   -506.7 |     -102      +11 |     -408 | fail
60  100  4   0.90 |  1067      -76  0.86     -90.0 |   969   -534.5 |    563   -506.7 |      -81       +5 |     -388 | fail
60  100  8   0.75 |  1025      -79  0.84     -90.0 |   874   -498.4 |    529   -476.1 |      -98      +19 |     -419 | fail
60  100  8   0.90 |  1025      -72  0.86     -90.0 |   946   -503.8 |    529   -476.1 |     -101      +30 |     -421 | fail
60  100  12  0.75 |   933     -248  0.46     -90.0 |   793   -462.6 |    491   -441.9 |     -120     -128 |     -408 | fail
60  100  12  0.90 |   933     -222  0.53     -90.0 |   854   -466.7 |    491   -441.9 |      -89     -132 |     -403 | fail
