INCREMENT-CASCADE CERT — coin=UNI early=1 bars=48569 thr=0.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  8773     -667  0.81     -60.0 |  7507  -3564.8 |   5733  -3439.8 |     -159     -508 |    -3231 | fail
30  38   2   0.90 |  8773     -674  0.81     -60.0 |  7878  -3592.4 |   5733  -3439.8 |     -191     -483 |    -3224 | fail
30  38   4   0.75 |  6784     -303  0.89     -60.0 |  5846  -2740.8 |   4395  -2637.0 |       -6     -298 |    -2286 | fail
30  38   4   0.90 |  6784     -349  0.87     -60.0 |  6190  -2767.8 |   4395  -2637.0 |      -39     -310 |    -2322 | fail
30  38   8   0.75 |  4866     -333  0.83     -60.0 |  4189  -1959.3 |   3131  -1878.6 |     -281      -53 |    -1778 | fail
30  38   8   0.90 |  4866     -409  0.79     -60.0 |  4510  -1985.1 |   3131  -1878.6 |     -319      -90 |    -1808 | fail
30  38   12  0.75 |  3945     -248  0.84     -60.0 |  3396  -1593.3 |   2541  -1524.6 |      -27     -221 |    -1497 | fail
30  38   12  0.90 |  3945     -308  0.81     -60.0 |  3643  -1612.3 |   2541  -1524.6 |      -69     -239 |    -1526 | fail
30  60   2   0.75 |  7981     -444  0.86     -60.0 |  6824  -3226.8 |   5187  -3112.2 |     -175     -270 |    -2793 | fail
30  60   2   0.90 |  7981     -431  0.87     -60.0 |  7152  -3251.2 |   5187  -3112.2 |     -184     -246 |    -2801 | fail
30  60   4   0.75 |  6215     -157  0.94     -60.0 |  5349  -2507.4 |   4020  -2412.0 |      -12     -145 |    -1943 | fail
30  60   4   0.90 |  6215     -182  0.93     -60.0 |  5655  -2531.2 |   4020  -2412.0 |      -41     -141 |    -1960 | fail
30  60   8   0.75 |  4509     -235  0.87     -60.0 |  3879  -1809.4 |   2895  -1737.0 |     -260      +25 |    -1573 | fail
30  60   8   0.90 |  4509     -287  0.84     -60.0 |  4164  -1832.0 |   2895  -1737.0 |     -280       -7 |    -1600 | fail
30  60   12  0.75 |  3681     -188  0.87     -60.0 |  3165  -1486.4 |   2369  -1421.4 |      -31     -157 |    -1313 | fail
30  60   12  0.90 |  3681     -220  0.85     -60.0 |  3399  -1503.9 |   2369  -1421.4 |      -63     -157 |    -1330 | fail
30  100  2   0.75 |  6926     -260  0.91     -60.0 |  5907  -2766.8 |   4437  -2662.2 |     -139     -121 |    -2349 | fail
30  100  2   0.90 |  6926     -263  0.91     -60.0 |  6194  -2787.4 |   4437  -2662.2 |     -158     -106 |    -2350 | fail
30  100  4   0.75 |  5501      -53  0.98     -60.0 |  4708  -2189.9 |   3504  -2102.4 |      -14      -38 |    -1643 | fail
30  100  4   0.90 |  5501      -72  0.97     -60.0 |  4997  -2211.7 |   3504  -2102.4 |      -27      -45 |    -1664 | fail
30  100  8   0.75 |  4035     -141  0.91     -60.0 |  3450  -1616.5 |   2587  -1552.2 |     -232      +91 |    -1320 | fail
30  100  8   0.90 |  4035     -205  0.87     -60.0 |  3730  -1637.8 |   2587  -1552.2 |     -258      +54 |    -1349 | fail
30  100  12  0.75 |  3320     -151  0.89     -60.0 |  2844  -1332.7 |   2128  -1276.8 |      -65      -86 |    -1164 | fail
30  100  12  0.90 |  3320     -188  0.86     -60.0 |  3064  -1349.5 |   2128  -1276.8 |      -88      -99 |    -1184 | fail
60  38   2   0.75 |  8773    -1489  0.69     -90.0 |  7305  -4788.6 |   5131  -4617.9 |     -659     -830 |    -3998 | fail
60  38   2   0.90 |  8773    -1486  0.69     -90.0 |  7728  -4820.4 |   5131  -4617.9 |     -683     -804 |    -3989 | fail
60  38   4   0.75 |  6784     -860  0.77     -90.0 |  5682  -3664.6 |   3920  -3528.0 |     -343     -517 |    -2777 | fail
60  38   4   0.90 |  6784     -893  0.76     -90.0 |  6077  -3695.5 |   3920  -3528.0 |     -367     -526 |    -2806 | fail
60  38   8   0.75 |  4866     -735  0.72     -90.0 |  4066  -2611.0 |   2782  -2503.8 |     -530     -205 |    -2131 | fail
60  38   8   0.90 |  4866     -825  0.69     -90.0 |  4440  -2641.1 |   2782  -2503.8 |     -579     -245 |    -2163 | fail
60  38   12  0.75 |  3945     -616  0.71     -90.0 |  3311  -2151.3 |   2289  -2060.1 |     -221     -395 |    -1842 | fail
60  38   12  0.90 |  3945     -654  0.70     -90.0 |  3592  -2172.7 |   2289  -2060.1 |     -269     -385 |    -1849 | fail
60  60   2   0.75 |  7981    -1179  0.73     -90.0 |  6644  -4344.1 |   4660  -4194.0 |     -586     -593 |    -3524 | fail
60  60   2   0.90 |  7981    -1167  0.73     -90.0 |  7014  -4372.0 |   4660  -4194.0 |     -599     -568 |    -3534 | fail
60  60   4   0.75 |  6215     -697  0.79     -90.0 |  5219  -3363.7 |   3600  -3240.0 |     -333     -364 |    -2444 | fail
60  60   4   0.90 |  6215     -718  0.79     -90.0 |  5562  -3389.7 |   3600  -3240.0 |     -363     -355 |    -2462 | fail
60  60   8   0.75 |  4509     -615  0.75     -90.0 |  3780  -2422.4 |   2585  -2326.5 |     -466     -149 |    -1909 | fail
60  60   8   0.90 |  4509     -647  0.74     -90.0 |  4113  -2448.4 |   2585  -2326.5 |     -493     -154 |    -1911 | fail
60  60   12  0.75 |  3681     -493  0.75     -90.0 |  3088  -2001.1 |   2129  -1916.1 |     -206     -287 |    -1595 | fail
60  60   12  0.90 |  3681     -502  0.75     -90.0 |  3350  -2020.5 |   2129  -1916.1 |     -237     -265 |    -1588 | fail
60  100  2   0.75 |  6926     -861  0.77     -90.0 |  5739  -3732.9 |   3996  -3596.4 |     -499     -361 |    -2955 | fail
60  100  2   0.90 |  6926     -866  0.77     -90.0 |  6070  -3757.1 |   3996  -3596.4 |     -524     -341 |    -2958 | fail
60  100  4   0.75 |  5501     -546  0.81     -90.0 |  4598  -2950.7 |   3158  -2842.2 |     -316     -230 |    -2137 | fail
60  100  4   0.90 |  5501     -559  0.81     -90.0 |  4922  -2975.1 |   3158  -2842.2 |     -330     -229 |    -2155 | fail
60  100  8   0.75 |  4035     -522  0.76     -90.0 |  3368  -2176.8 |   2325  -2092.5 |     -443      -79 |    -1713 | fail
60  100  8   0.90 |  4035     -592  0.73     -90.0 |  3680  -2200.6 |   2325  -2092.5 |     -474     -119 |    -1745 | fail
60  100  12  0.75 |  3320     -396  0.78     -90.0 |  2765  -1799.7 |   1922  -1729.8 |     -203     -194 |    -1397 | fail
60  100  12  0.90 |  3320     -415  0.77     -90.0 |  3017  -1818.3 |   1922  -1729.8 |     -232     -183 |    -1393 | fail
