INCREMENT-CASCADE CERT — coin=VET early=1 bars=31062 thr=1.00% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  3131     -436  0.65     -60.0 |  2737  -1243.4 |   1986  -1191.6 |     -172     -264 |    -1352 | fail
30  38   2   0.90 |  3131     -450  0.64     -60.0 |  2888  -1255.8 |   1986  -1191.6 |     -172     -277 |    -1340 | fail
30  38   4   0.75 |  2737     -342  0.69     -60.0 |  2394  -1101.9 |   1764  -1058.4 |     -199     -143 |    -1178 | fail
30  38   4   0.90 |  2737     -351  0.68     -60.0 |  2516  -1111.6 |   1764  -1058.4 |     -197     -154 |    -1188 | fail
30  38   8   0.75 |  2102     -403  0.53     -60.0 |  1844   -860.8 |   1383   -829.8 |     -219     -184 |    -1061 | fail
30  38   8   0.90 |  2102     -408  0.53     -60.0 |  1955   -870.1 |   1383   -829.8 |     -206     -202 |    -1068 | fail
30  38   12  0.75 |  1778     -269  0.63     -60.0 |  1555   -717.6 |   1149   -689.4 |     -191      -77 |     -813 | fail
30  38   12  0.90 |  1778     -292  0.60     -60.0 |  1659   -725.9 |   1149   -689.4 |     -193      -99 |     -834 | fail
30  60   2   0.75 |  2894     -402  0.65     -60.0 |  2529  -1153.0 |   1843  -1105.8 |     -146     -255 |    -1239 | fail
30  60   2   0.90 |  2894     -421  0.64     -60.0 |  2671  -1164.7 |   1843  -1105.8 |     -153     -268 |    -1238 | fail
30  60   4   0.75 |  2558     -347  0.66     -60.0 |  2233  -1022.5 |   1636   -981.6 |     -211     -136 |    -1086 | fail
30  60   4   0.90 |  2558     -348  0.66     -60.0 |  2359  -1032.6 |   1636   -981.6 |     -206     -142 |    -1095 | fail
30  60   8   0.75 |  1961     -399  0.50     -60.0 |  1715   -806.6 |   1296   -777.6 |     -236     -163 |    -1003 | fail
30  60   8   0.90 |  1961     -410  0.50     -60.0 |  1830   -816.1 |   1296   -777.6 |     -239     -171 |    -1009 | fail
30  60   12  0.75 |  1668     -221  0.67     -60.0 |  1450   -677.5 |   1086   -651.6 |     -130      -91 |     -732 | fail
30  60   12  0.90 |  1668     -233  0.66     -60.0 |  1556   -685.8 |   1086   -651.6 |     -131     -103 |     -756 | fail
30  100  2   0.75 |  2562     -316  0.70     -60.0 |  2227  -1038.0 |   1665   -999.0 |     -145     -171 |    -1069 | fail
30  100  2   0.90 |  2562     -336  0.68     -60.0 |  2352  -1048.1 |   1665   -999.0 |     -151     -184 |    -1068 | fail
30  100  4   0.75 |  2269     -222  0.75     -60.0 |  1958   -903.9 |   1444   -866.4 |     -133      -89 |     -858 | fail
30  100  4   0.90 |  2269     -229  0.75     -60.0 |  2077   -913.2 |   1444   -866.4 |     -131      -98 |     -859 | fail
30  100  8   0.75 |  1763     -304  0.58     -60.0 |  1532   -714.9 |   1146   -687.6 |     -156     -147 |     -818 | fail
30  100  8   0.90 |  1763     -308  0.57     -60.0 |  1637   -723.4 |   1146   -687.6 |     -156     -151 |     -820 | fail
30  100  12  0.75 |  1505     -194  0.68     -60.0 |  1312   -610.0 |    976   -585.6 |     -119      -76 |     -681 | fail
30  100  12  0.90 |  1505     -224  0.64     -60.0 |  1407   -617.8 |    976   -585.6 |     -122     -102 |     -692 | fail
60  38   2   0.75 |  3131     -712  0.57     -90.0 |  2666  -1657.2 |   1773  -1595.7 |     -338     -374 |    -1634 | fail
60  38   2   0.90 |  3131     -722  0.57     -90.0 |  2846  -1671.7 |   1773  -1595.7 |     -335     -387 |    -1622 | fail
60  38   4   0.75 |  2737     -571  0.61     -90.0 |  2333  -1449.4 |   1549  -1394.1 |     -339     -232 |    -1391 | fail
60  38   4   0.90 |  2737     -581  0.60     -90.0 |  2482  -1461.2 |   1549  -1394.1 |     -337     -244 |    -1400 | fail
60  38   8   0.75 |  2102     -598  0.47     -90.0 |  1790  -1139.2 |   1223  -1100.7 |     -318     -281 |    -1252 | fail
60  38   8   0.90 |  2102     -608  0.47     -90.0 |  1923  -1150.7 |   1223  -1100.7 |     -309     -299 |    -1260 | fail
60  38   12  0.75 |  1778     -436  0.54     -90.0 |  1516   -940.6 |   1005   -904.5 |     -277     -158 |     -985 | fail
60  38   12  0.90 |  1778     -451  0.53     -90.0 |  1637   -950.3 |   1005   -904.5 |     -279     -172 |    -1001 | fail
60  60   2   0.75 |  2894     -674  0.56     -90.0 |  2464  -1534.6 |   1642  -1477.8 |     -296     -378 |    -1518 | fail
60  60   2   0.90 |  2894     -695  0.55     -90.0 |  2632  -1548.4 |   1642  -1477.8 |     -302     -394 |    -1517 | fail
60  60   4   0.75 |  2558     -553  0.59     -90.0 |  2174  -1353.0 |   1446  -1301.4 |     -328     -225 |    -1286 | fail
60  60   4   0.90 |  2558     -558  0.59     -90.0 |  2320  -1364.7 |   1446  -1301.4 |     -325     -233 |    -1297 | fail
60  60   8   0.75 |  1961     -585  0.45     -90.0 |  1666  -1060.4 |   1137  -1023.3 |     -321     -265 |    -1183 | fail
