INCREMENT-CASCADE CERT — coin=XRP early=1 bars=48569 thr=1.50% confirm=60bp RT=30/60bp legs=3 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  38   2   0.75 |  2915      +10  1.01     -60.0 |  2525  -1203.7 |   1935  -1161.0 |      -22      +32 |     -834 | fail
30  38   2   0.90 |  2915      +11  1.01     -60.0 |  2681  -1216.0 |   1935  -1161.0 |      -25      +37 |     -840 | fail
30  38   4   0.75 |  2980     -102  0.92     -60.0 |  2554  -1220.0 |   1961  -1176.6 |      -48      -54 |     -996 | fail
30  38   4   0.90 |  2980     -103  0.92     -60.0 |  2750  -1234.4 |   1961  -1176.6 |      -75      -28 |     -978 | fail
30  38   8   0.75 |  2535     -277  0.74     -60.0 |  2200  -1044.6 |   1679  -1007.4 |     -220      -57 |    -1028 | fail
30  38   8   0.90 |  2535     -311  0.71     -60.0 |  2357  -1057.1 |   1679  -1007.4 |     -232      -79 |    -1048 | fail
30  38   12  0.75 |  2147     -204  0.77     -60.0 |  1870   -903.2 |   1453   -871.8 |      -86     -118 |     -810 | fail
30  38   12  0.90 |  2147     -261  0.71     -60.0 |  1995   -913.0 |   1453   -871.8 |     -142     -119 |     -848 | fail
30  60   2   0.75 |  2768       +1  1.00     -60.0 |  2388  -1149.0 |   1851  -1110.6 |      -29      +31 |     -822 | fail
30  60   2   0.90 |  2768      +38  1.03     -60.0 |  2539  -1161.2 |   1851  -1110.6 |      -14      +53 |     -799 | fail
30  60   4   0.75 |  2808     -134  0.88     -60.0 |  2411  -1140.8 |   1834  -1100.4 |      -96      -38 |    -1009 | fail
30  60   4   0.90 |  2808     -111  0.90     -60.0 |  2593  -1154.4 |   1834  -1100.4 |      -85      -26 |     -973 | fail
30  60   8   0.75 |  2399     -212  0.79     -60.0 |  2067   -988.6 |   1593   -955.8 |     -177      -35 |     -940 | fail
30  60   8   0.90 |  2399     -253  0.75     -60.0 |  2231  -1001.4 |   1593   -955.8 |     -199      -54 |     -957 | fail
30  60   12  0.75 |  2012     -185  0.78     -60.0 |  1737   -835.7 |   1348   -808.8 |      -76     -109 |     -796 | fail
30  60   12  0.90 |  2012     -206  0.76     -60.0 |  1866   -845.9 |   1348   -808.8 |     -111      -96 |     -831 | fail
30  100  2   0.75 |  2534     +120  1.11     -60.0 |  2163  -1049.9 |   1692  -1015.2 |      +33      +88 |     -667 | fail
30  100  2   0.90 |  2534      +98  1.09     -60.0 |  2309  -1061.8 |   1692  -1015.2 |      +19      +79 |     -669 | fail
30  100  4   0.75 |  2578      -79  0.93     -60.0 |  2195  -1050.4 |   1694  -1016.4 |      -58      -21 |     -838 | fail
